lig,rec,g1,g2,g3,g4,g5,g6,g7,g8
H_N,Br,-0.0002131,-0.02587,-0.03311,-0.0125,0.02537,0.04311,0.05839,0.07213
H_N,Br_ba,-0.006641,-0.001163,0.00112,0.03098,-0.01188,0.005088,0.006448,-0.0143
H_N,I,0.02418,0.007973,0.01688,0.03055,0.003109,-0.01962,-0.009405,0.03272
H_N,I_ba,-0.00679,-0.01385,-0.02598,0.01889,0.008853,0.002654,-0.003252,-0.01919
H_N,N_D,-0.002938,-0.01181,0.003177,0.02368,0.03567,0.02127,-0.02547,-0.03047
H_N,N_a_D,-0.01425,0.04396,0.06379,0.07971,0.06457,0.002247,-0.05405,-0.09019
H_N,N_ba_D,0.1237,0.06804,0.01989,-0.039,-0.09504,-0.07044,-0.0365,-0.06373
H_N,Np_D,0.06723,0.01706,-0.004695,-0.0005691,0.1245,0.2469,0.213,0.0746
H_N,N_SP2_D,-0.009455,0.002118,0.014,0.01398,0.005669,0.0361,0.003763,0.002785
H_N,N_AMID_D,0.01623,-0.01175,0.01279,0.0299,0.004241,-0.06677,-0.178,-0.1365
H_N,Np_RES_D,0.05423,0.05036,-0.00917,-0.09459,-0.06868,-0.06566,-0.06185,-0.04957
H_N,N_DA,-0.004318,0.00285,0.001764,0.01492,0.0212,0.009489,0.0004597,-0.01462
H_N,N_a_DA,-0.01619,-0.04419,0.0008786,-0.00123,-0.03026,-0.09362,-0.1489,-0.1388
H_N,O_DA,-0.03063,-0.009404,0.01252,-0.02599,-0.02629,-0.02334,-0.0575,-0.06922
H_N,O_ba_DA,0.01281,0.004805,0.04443,0.08605,0.08133,0.04139,-0.03399,-0.1132
H_N,Met_DA,-0.003196,0.04771,0.06967,0.06264,0.0695,0.0591,0.1264,0.1264
H_N,N_A,0.02384,0.01205,0.0195,0.01435,0.02049,0.009164,0.00681,-0.003174
H_N,N_a_A,-0.01339,0.0341,0.02319,0.01908,-0.002802,-0.0356,-0.171,-0.214
H_N,O_A,0.01543,0.01143,-0.04242,-0.05542,-0.05008,-0.03236,-0.07627,-0.09647
H_N,O_a_A,-0.01712,-0.00285,-0.01986,0.006892,0.00845,0.001494,0.006602,0.02459
H_N,On_A,-0.06077,-0.04696,-0.06385,-0.08681,-0.1344,-0.1121,-0.1591,-0.1897
H_N,O_SP2_A,-0.03503,-0.03945,-0.01744,-0.004991,-0.002918,-0.005433,-0.03811,0.006882
H_N,O_AMID,-0.0547,-0.1069,-0.02914,0.002114,-0.05817,-0.1068,-0.1048,-0.08272
H_N,O_CAR,0.004584,-0.08392,-0.0918,-0.09322,-0.1215,-0.1466,-0.101,-0.05399
H_N,O_ALD,0.0793,0.1326,0.2756,0.4592,0.5217,0.3645,0.1526,0.04605
H_N,N,0.04663,0.04261,0.05859,0.04465,-0.01317,-0.007419,-0.007829,-0.02023
H_N,Np,-0.02614,-0.01291,-0.01403,-0.0246,0.007293,0.0334,0.03382,0.04111
H_N,N_SP,0.01624,0.005478,0.0149,-0.01622,0.01552,-0.01587,0.0002039,-0.004571
H_N,O,-0.005678,0.002858,-0.009623,-0.001262,-0.006119,-0.002713,-0.0003646,-0.004075
H_N,On,0.0174,-0.01667,-0.0004392,0.007254,0.004812,-0.008838,-0.0104,-0.0136
H_N,S,-0.03916,-0.032,-0.02681,-0.04282,-0.05594,-0.0709,-0.05817,-0.007175
H_N,S_a,0.01577,0.007639,0.003679,0.003628,0.01022,0.0006391,-0.0007271,-0.007994
H_N,S_H,-0.06504,-0.01911,0.0006689,-0.01698,-0.006779,-0.02456,-0.06292,-0.03634
H_N,P,0.009792,-0.04248,-0.01836,0.003984,0.0188,0.04211,0.04008,0.07183
H_N,U,-0.007487,-0.0198,-0.04904,-0.03165,-0.0167,-0.05323,-0.001232,0.02531
H_O,H,-0.002654,-0.006363,-0.01371,0.01396,0.01662,-0.01901,-0.02811,-0.03453
H_O,H_N,-0.008535,0.04647,0.006398,0.006622,0.006166,0.01438,-0.0152,-0.03546
H_O,H_O,-0.005166,0.02952,0.01184,-0.04158,-0.02279,-0.02027,-0.05479,-0.05318
H_O,H_S,-0.00723,-0.0008398,0.001253,-0.01938,-0.01762,-0.01599,-0.02759,-0.04993
H_O,H_ba,-0.01325,-0.03108,-0.03505,0.0152,0.03665,-0.001802,-0.03097,-0.0444
H_O,C,-0.001645,0.02176,0.01698,-0.02501,-0.007449,0.006894,0.02218,-0.009623
H_O,C_a,0.01682,0.01916,0.01744,0.02375,0.005193,0.006386,-0.02395,-0.04131
H_O,C_SP2,-0.03072,-0.02935,-0.04825,-0.006134,0.04206,0.07243,0.02025,-0.09123
H_O,C_SP,0.009213,-0.003513,-0.0007786,-0.006849,0.005461,0.006569,0.02298,0.001215
H_O,F,0.0003269,-0.004342,-0.0001939,0.0182,0.01887,0.04037,-0.02016,-0.0307
H_O,F_ba,0.003615,0.003028,-0.0003452,-0.009614,-0.005266,0.0004609,0.005655,-0.02611
H_O,Cl,-0.02922,-0.02652,-0.005971,0.008586,0.06792,0.08561,0.02559,0.001921
H_O,Cl_ba,0.007337,0.007386,-0.009169,-0.0001891,0.009733,0.003405,-0.0022,0.0126
H_O,Br,-0.004666,-0.02313,-0.004831,0.01839,0.004028,0.01141,0.03127,0.04733
H_O,Br_ba,-0.01383,-0.0007914,-0.0124,-0.001004,-0.02234,0.006619,-0.0107,0.01148
H_O,I,0.01492,0.01593,0.001885,0.006094,0.004597,0.01917,0.01887,-0.001345
H_O,I_ba,0.01529,-0.006201,0.002401,-0.006837,-0.01096,-0.0126,-0.009753,0.0002883
H_O,N_D,0.05501,0.02516,0.002811,0.007006,0.02456,0.01859,0.01873,0.007127
H_O,N_a_D,0.009017,-0.004811,0.001726,0.002652,0.01527,-0.005774,-0.01076,0.03408
H_O,N_ba_D,0.1061,0.09159,0.0375,0.002604,-0.007688,0.003961,0.04023,0.03028
H_O,Np_D,0.01405,0.002536,-0.04397,-0.07179,0.01054,0.1497,0.2005,0.1169
H_O,N_SP2_D,-0.001169,0.03291,0.01304,0.005311,0.01681,0.03858,0.0231,0.0231
H_O,N_AMID_D,0.03346,0.002934,-0.008888,-0.002471,0.01207,-0.04528,-0.1242,-0.09581
H_O,Np_RES_D,0.02756,0.001198,-0.01345,-0.0181,0.006161,0.0275,-0.01433,-0.0236
H_O,N_DA,0.004859,0.004031,0.01345,0.007755,-0.01043,0.002807,0.003619,-0.006238
H_O,N_a_DA,0.0005396,-0.0006749,-0.0136,-0.035,-0.03793,-0.02773,-0.05232,-0.04078
