lig,rec,g1,g2,g3,g4,g5,g6,g7,g8
Cl_ba,C_SP,0.01798,0.01701,-0.03951,0.003898,-0.0001458,-0.005051,0.04702,0.02447
Cl_ba,F,-0.001211,-0.01965,-0.004896,0.002321,0.01509,0.07259,0.1011,0.04777
Cl_ba,F_ba,0.03958,-0.01559,0.02531,0.01317,0.0158,-0.003817,-0.01554,-0.0302
Cl_ba,Cl,-0.01889,0.05668,0.03822,0.01579,0.03723,-0.01517,-0.08776,-0.06597
Cl_ba,Cl_ba,-0.03029,0.003095,0.007278,0.02283,0.04367,0.06591,-0.002818,-0.007231
Cl_ba,Br,0.01414,-0.04108,-0.0427,-0.008186,0.01992,-0.04469,0.05041,0.0826
Cl_ba,Br_ba,0.008085,-0.03486,0.01801,-0.02693,-0.024,-0.03049,-0.02608,0.01645
Cl_ba,I,0.0516,0.052,0.01893,0.07708,0.009713,-0.05587,-0.02636,0.01843
Cl_ba,I_ba,0.01808,-0.04521,0.04615,0.018,-0.05481,-0.009287,-0.0298,-0.04128
Cl_ba,N_D,-0.005636,-0.01175,-0.0439,-0.005205,0.05086,0.02323,0.1193,0.04858
Cl_ba,N_a_D,0.02477,0.04303,-0.03292,-0.02773,-0.04646,-0.057,-0.1172,-0.04197
Cl_ba,N_ba_D,0.05454,-0.01555,-0.03894,-0.07756,-0.05995,-0.06095,0.009453,0.01225
Cl_ba,Np_D,0.07408,0.06251,0.07294,0.1073,0.3139,0.542,0.607,0.3694
Cl_ba,N_SP2_D,0.06433,-0.02819,0.05689,0.006206,0.01326,0.02857,0.04093,0.02586
Cl_ba,N_AMID_D,0.07552,-0.04492,-0.1585,-0.1517,-0.083,-0.07312,-0.2063,-0.2894
Cl_ba,Np_RES_D,0.1052,0.02623,0.01835,-0.1287,-0.03263,-0.01496,0.01363,0.005889
Cl_ba,N_DA,0.01752,0.01025,0.04736,0.02228,0.02167,0.02308,-0.01458,-0.03906
Cl_ba,N_a_DA,0.07883,-0.006628,-0.02721,-0.1373,-0.1236,-0.1387,-0.1602,-0.182
Cl_ba,O_DA,0.1918,0.1448,0.1959,0.1398,0.01494,-0.06872,-0.1882,-0.2236
Cl_ba,O_ba_DA,0.1455,0.1129,0.0817,0.03771,0.03638,0.05071,-0.04877,-0.146
Cl_ba,Met_DA,0.0665,-0.004649,0.01857,0.07831,0.07721,-0.005651,0.02292,0.1143
Cl_ba,N_A,-0.01979,0.04372,0.01574,0.04957,-0.01596,0.01758,-0.0336,-0.02029
Cl_ba,N_a_A,0.002976,-0.04171,-0.1081,-0.05645,-0.04013,-0.03762,0.01834,-0.02582
Cl_ba,O_A,-0.03753,-0.104,-0.1608,-0.183,-0.1369,-0.08025,0.01879,0.02661
Cl_ba,O_a_A,0.007706,0.008618,-0.001076,-0.01581,-0.02018,-0.01692,0.003061,0.0393
Cl_ba,On_A,0.2262,0.2016,0.1516,0.1173,0.1354,0.02594,-0.1152,-0.2755
Cl_ba,O_SP2_A,0.07046,0.1415,0.106,0.0801,0.07883,0.05294,-0.01821,0.06057
Cl_ba,O_AMID,0.2361,0.2123,0.08271,-0.09289,-0.2357,-0.2104,-0.2049,-0.2072
Cl_ba,O_CAR,0.1211,0.005914,-0.06536,-0.1049,-0.1671,-0.1416,-0.07882,-0.08133
Cl_ba,O_ALD,0.2279,0.3663,0.4713,0.7549,1.004,0.89,0.5112,0.2282
Cl_ba,N,0.03613,0.08514,0.08806,0.05683,-0.007687,-0.09917,-0.06844,-0.05837
Cl_ba,Np,0.004701,-0.005934,-0.02525,0.003103,0.09781,0.05081,0.06001,0.06185
Cl_ba,N_SP,-0.0152,0.01559,0.01073,0.01192,-0.01826,0.001213,0.01858,-0.04799
Cl_ba,O,-0.004567,0.007451,0.00461,-0.002953,0.01822,-0.007615,0.04017,0.003
Cl_ba,On,0.01366,0.001496,0.02035,0.01333,0.009123,-0.002115,0.03492,0.01177
Cl_ba,S,0.124,0.1005,-0.04537,-0.1198,-0.1609,-0.04271,0.04193,-0.03574
Cl_ba,S_a,-0.01135,-0.02513,-0.02475,-0.01494,-0.003872,0.01252,-0.01477,0.01649
Cl_ba,S_H,0.04736,0.06592,0.01539,0.0115,0.03654,0.06818,-0.04803,-0.1057
Cl_ba,P,0.03362,0.01936,0.01628,-0.04117,-0.02609,0.01155,0.1111,0.04504
Cl_ba,U,0.02016,0.06205,0.05078,0.02584,-0.03397,-0.07694,-0.02769,-0.05062
Br,H,0.0299,-0.01464,-0.03099,-0.03508,-0.02473,-0.02558,-0.03163,-0.03714
Br,H_N,0.01972,0.008709,0.01791,0.008802,0.0008938,0.01805,0.01462,-0.003551
Br,H_O,0.01292,0.01686,0.02029,0.01839,0.01809,-0.01045,-0.01609,-0.01335
Br,H_S,0.02386,0.00824,0.01368,0.01224,0.0005202,-0.01374,-0.003293,-0.03822
Br,H_ba,0.01321,0.003745,-0.01418,-0.02729,-0.009895,-0.001226,-0.03091,-0.04625
Br,C,0.03062,0.01602,-0.001847,-0.02304,-0.02919,-0.003283,0.01256,-0.01508
Br,C_a,0.04216,0.01318,-0.0001288,0.003766,-0.0009889,-0.01459,-0.01379,-0.02122
Br,C_SP2,-0.002572,0.004548,-0.01484,-0.004858,0.01549,0.045,-0.01042,-0.0236
Br,C_SP,0.01246,-0.003932,-0.002759,-0.001831,0.005767,-0.0009827,0.005297,0.01266
Br,F,0.006634,0.003594,0.002265,0.009451,0.009002,0.01859,0.001705,0.01074
Br,F_ba,-0.003085,-0.002812,0.01232,-0.006523,-0.001901,0.003756,0.004953,-0.01064
Br,Cl,0.01774,-0.0166,-0.01033,-0.01878,0.002095,0.01197,-0.008664,-0.001289
Br,Cl_ba,0.005159,0.001454,-0.01834,0.00525,-0.003898,-0.005073,-0.001152,0.009743
Br,Br,-0.001905,0.009457,0.006945,0.01903,0.009234,0.007556,0.004179,0.00925
Br,Br_ba,-0.009635,-0.002254,-0.002661,-0.009135,-0.01464,-0.02181,-0.0001378,0.008768
Br,I,-0.002593,-0.00896,-0.009638,0.001484,0.01129,-0.02069,-0.001545,-0.001134
Br,I_ba,-0.003652,0.007858,0.007605,-0.001632,0.007936,-0.01005,-0.004865,-0.003067
Br,N_D,0.0002557,0.001817,-0.000623,-0.01062,0.01,-0.0205,0.01615,0.008802
Br,N_a_D,0.01303,0.002181,-0.005337,-0.005002,0.01315,-0.00566,-0.01853,-0.01189
Br,N_ba_D,0.02004,0.003687,0.01816,-0.01054,-0.01112,-0.01871,-0.004561,0.006308
Br,Np_D,0.0229,0.002011,0.007828,-0.003669,0.02506,0.09692,0.1111,0.08442
Br,N_SP2_D,0.0004656,0.001593,0.004301,-0.01853,0.01611,0.01255,0.01507,0.008747
Br,N_AMID_D,0.006765,0.01827,0.001305,-0.003349,-0.01157,-0.037,-0.05952,-0.0585
Br,Np_RES_D,0.01577,0.00481,0.003503,-0.004624,0.0001383,0.003376,-0.002554,-0.01349
Br,N_DA,0.005887,0.007184,0.006968,0.000869,-0.004765,0.00687,0.006997,-0.003089
Br,N_a_DA,0.01657,-0.003565,-0.01138,-0.02299,-0.02212,-0.01168,0.003773,0.01738
Br,O_DA,0.02429,0.02813,0.03122,0.02811,0.02158,-0.01124,0.004729,-0.006492
Br,O_ba_DA,0.0216,0.008885,-0.01917,0.006294,-0.001334,0.0003866,-0.004169,-0.003656
Br,Met_DA,0.002473,0.004308,-0.01809,-0.007422,0.0001601,0.005233,0.0112,0.03604
Br,N_A,0.008456,-0.006923,0.008094,0.009186,0.01571,0.01529,0.01863,-0.01379
Br,N_a_A,0.000163,-0.001354,-0.009755,-0.004814,-0.01346,-0.02896,-0.03474,0.003989
Br,O_A,0.02064,0.003298,-0.01214,-0.009588,-0.01021,-0.03357,-0.006035,0.01313
Br,O_a_A,0.00728,-0.01086,-0.01024,-0.005764,0.0006832,-0.004852,-0.002166,-0.01167
Br,On_A,0.04111,0.03976,0.02859,0.02745,0.0124,0.008006,-0.01069,-0.0408
Br,O_SP2_A,0.02713,0.02178,0.02792,0.01686,-0.004745,0.004769,-0.02961,-0.005748
Br,O_AMID,0.03285,0.04039,0.02066,-0.002535,-0.02495,-0.03887,-0.06055,-0.07851
Br,O_CAR,0.02548,-0.001891,-0.01194,-0.01909,-0.03248,-0.02243,-0.02596,-0.02307
Br,O_ALD,0.04856,0.06201,0.09872,0.159,0.2045,0.1905,0.1357,0.08157
Br,N,0.0007177,0.01138,0.009425,-0.003304,-0.0185,-0.00946,0.02347,-0.003184
Br,Np,-0.003629,-0.003645,-0.01065,0.007841,0.001991,0.009772,0.004373,-0.002148
Br,N_SP,0.008735,-0.002797,-0.0002487,-0.005458,0.001361,-0.01469,-0.003631,0.003822
Br,O,-0.01402,-0.004707,-0.01771,-0.004582,0.008064,-0.00921,0.009537,0.01185
Br,On,0.005355,0.005603,-3.671e-05,-0.00918,0.006475,-0.005463,0.007579,0.01542
Br,S,0.02219,0.01591,0.005643,-0.0149,-0.01731,-0.01153,-0.006606,0.0007997
Br,S_a,0.007739,0.0007808,-0.01195,0.001863,0.002395,0.002345,-0.0003023,0.003922
Br,S_H,-0.002928,0.006682,0.009639,-0.004127,-0.008584,-0.02061,-0.007952,-0.01294
Br,P,-0.003129,-5.477e-05,-0.006536,0.004013,0.007022,0.01919,0.006863,-0.005836
Br,U,-0.02017,0.007708,-0.006999,0.003129,0.01393,0.001686,-0.001901,-0.006876
Br_ba,H,0.09446,-0.02358,-0.1298,-0.1462,-0.1016,-0.08323,-0.1016,-0.1209
Br_ba,H_N,0.0947,0.08983,0.04972,0.01264,-0.03365,0.02808,0.06529,0.03459
Br_ba,H_O,0.09633,0.08875,0.1374,0.1355,0.04051,-0.03771,-0.09721,-0.06388
Br_ba,H_S,-0.0318,-0.0472,0.02454,0.06919,0.04213,-0.06941,-0.05616,-0.05907
Br_ba,H_ba,0.0361,-0.03772,-0.0556,-0.08372,-0.1044,-0.1095,-0.1443,-0.1703
Br_ba,C,0.08587,0.04163,-0.05975,-0.1444,-0.07209,0.02758,0.07518,-0.01468
Br_ba,C_a,0.1193,0.05903,-0.03945,-0.06382,-0.09196,-0.1404,-0.1293,-0.05568
Br_ba,C_SP2,-0.1119,-0.1291,-0.1622,-0.08819,0.04249,0.1648,0.06949,-0.07987
Br_ba,C_SP,0.06159,-0.02501,-0.02628,-0.01522,-0.0153,0.03041,0.01173,-0.008618
Br_ba,F,0.01907,0.00443,0.005696,0.0273,-0.02348,0.04839,0.001492,0.05743
Br_ba,F_ba,0.007007,0.01454,-0.003295,0.00447,0.05115,0.04447,0.01305,0.0009136
Br_ba,Cl,0.05824,0.04985,0.02577,0.01927,0.08628,0.06104,-0.02689,-0.06582
Br_ba,Cl_ba,-0.02794,0.02449,-0.02575,0.04229,-0.00781,0.005154,-0.02393,-0.01431
Br_ba,Br,0.04926,0.01801,0.01809,-0.01523,0.07403,-0.01579,0.0871,0.05575
Br_ba,Br_ba,-0.00874,-0.02247,-0.004808,-0.01903,-0.01588,-0.01125,0.003814,0.01798
Br_ba,I,0.004573,0.03252,0.06092,0.03446,0.01235,-0.03586,-0.05429,0.01057
Br_ba,I_ba,0.01136,-0.01988,0.02375,-0.0006947,-0.01597,-0.002597,0.02274,-0.0088
Br_ba,N_D,0.005972,0.01823,-0.02076,-0.002384,0.03687,0.00335,0.06103,-0.0022
Br_ba,N_a_D,0.07326,0.03927,0.04456,-0.01632,-0.002009,-0.02176,-0.03275,-0.05555
Br_ba,N_ba_D,0.04335,0.05138,0.009369,-0.03479,0.0005176,-0.1077,0.0227,0.0176
Br_ba,Np_D,0.07406,0.07322,0.07359,0.03524,0.1965,0.417,0.5268,0.4096
Br_ba,N_SP2_D,0.003909,-0.04996,0.01769,-0.02514,0.002195,0.01791,-0.03612,0.02323
Br_ba,N_AMID_D,0.07327,0.004495,-0.1014,-0.08262,-0.03499,-0.09931,-0.2191,-0.3027
Br_ba,Np_RES_D,0.0692,-0.01591,-0.03896,-0.1257,-0.06997,-0.01079,-0.03431,0.03621
Br_ba,N_DA,-0.02778,-0.0009943,0.04533,-0.01289,-0.01071,0.01195,-0.001929,0.006456
Br_ba,N_a_DA,0.0387,-0.02593,0.001998,-0.09437,-0.05499,-0.02422,-0.0004098,-0.08532
Br_ba,O_DA,0.1307,0.1261,0.1753,0.149,0.09918,0.06488,-0.04688,-0.08558
Br_ba,O_ba_DA,0.09492,0.1084,0.06635,0.01688,-0.06398,-0.02923,-0.05801,-0.07783
Br_ba,Met_DA,0.0582,-0.009185,0.02506,0.03971,0.03369,0.01552,0.01488,0.09812
Br_ba,N_A,-0.006208,0.02276,0.03628,0.0255,0.02461,0.006023,-0.0245,-0.0238
Br_ba,N_a_A,0.02828,-0.03638,-0.06306,-0.005545,-0.03002,-0.09297,-0.02213,-0.02328
Br_ba,O_A,0.005578,-0.03183,-0.0463,-0.08235,-0.1111,-0.09155,-0.01183,0.03938
Br_ba,O_a_A,0.05028,0.03389,0.003213,0.02682,0.004034,0.0449,-0.01949,0.01816
Br_ba,On_A,0.2024,0.2092,0.1493,0.1893,0.1692,0.09189,-0.009119,-0.1107
Br_ba,O_SP2_A,0.01361,0.05322,0.08938,0.04994,0.05023,0.03661,-0.02981,0.02039
Br_ba,O_AMID,0.2015,0.1217,0.05328,-0.04465,-0.1643,-0.1581,-0.2084,-0.1966
Br_ba,O_CAR,0.05282,-0.02394,-0.03635,-0.05145,-0.07081,-0.1183,-0.05083,-0.05584
Br_ba,O_ALD,0.1604,0.2427,0.3412,0.6176,0.8371,0.7706,0.569,0.297
Br_ba,N,0.04689,0.09991,0.05205,0.028,-0.02202,-0.06326,0.01378,0.02785
Br_ba,Np,-0.008399,0.01498,-0.00263,0.01151,0.05104,0.04558,0.02204,0.05033
Br_ba,N_SP,0.000215,0.02321,0.006923,-0.02112,0.02495,0.01416,-0.01549,-0.01493
Br_ba,O,-0.002787,-0.02703,0.01354,0.0005294,0.03269,-0.02339,0.01779,-0.01366
Br_ba,On,-0.01759,-0.00279,-0.01063,0.01992,0.02406,0.009792,0.04114,0.003159
Br_ba,S,0.1182,0.06261,-0.0003401,-0.04813,-0.1595,-0.01757,0.0382,-0.01649
Br_ba,S_a,0.002731,0.03216,0.01622,-0.02059,0.04366,-0.01723,-0.02028,0.02284
Br_ba,S_H,-0.006526,0.04223,-0.009125,-0.06241,-0.004723,0.002982,-0.07539,-0.06527
Br_ba,P,-0.01591,0.0005753,0.02576,0.05296,0.01397,0.02534,0.00456,0.001416
Br_ba,U,0.05679,0.08815,0.06113,0.01474,-0.01846,-0.02276,0.002104,-0.03452
I,H,0.00809,0.004077,0.007753,-0.006762,0.01049,0.00508,-0.006614,-0.004414
I,H_N,0.00635,0.005944,0.000658,-0.0009151,-0.001345,0.001814,-0.007584,-0.008853
I,H_O,0.003659,0.001073,0.003729,-0.004595,-0.007278,0.009422,-0.004341,-0.003113
I,H_S,-0.001343,0.001231,0.01626,0.003555,-0.004021,0.009672,-0.0104,-0.02101
I,H_ba,0.0106,0.004482,-0.009498,-0.006578,-0.008083,-0.00211,0.004843,-0.01055
I,C,0.007221,-0.006403,0.01347,-0.008374,-0.02565,-0.01675,0.01025,-0.008119
I,C_a,0.002001,0.009754,-0.0003516,-0.006635,-0.001099,0.000414,-0.00109,-0.01912
I,C_SP2,-0.007661,-0.01397,-0.01471,0.0002693,0.001091,0.02204,0.02139,0.005516
I,C_SP,-0.0005695,0.002964,-0.0009237,0.003208,-0.001809,-0.001062,0.007954,-0.003454
I,F,0.008068,0.003084,-0.0009011,0.008392,-0.0111,-0.0007848,0.002492,-0.01385
I,F_ba,-0.00515,-0.002498,0.003582,-0.01737,-0.01429,0.004626,0.01026,-0.006725
I,Cl,-0.009673,-0.009283,-0.02184,-0.01214,-0.008899,0.003195,0.01551,-0.003695
I,Cl_ba,0.01425,-0.005103,0.003212,-0.003512,0.0009585,0.000825,0.004752,0.004273
I,Br,-0.009567,-0.003564,-0.001073,-0.008142,0.001515,-0.005457,0.003305,0.01459
I,Br_ba,0.003158,-0.0001854,0.001878,0.005017,0.003337,-0.008553,-0.001333,0.009126
I,I,0.003227,-0.00961,0.001312,0.008484,-0.0009569,-0.006449,0.001968,0.008519
I,I_ba,0.005698,0.00407,0.0003574,0.007497,0.01101,-0.001413,-0.002547,0.01342
I,N_D,0.008313,0.001626,-0.009714,-0.008818,0.006234,0.008272,0.01874,0.01244
I,N_a_D,0.001791,-0.00131,-0.009754,-0.0185,-0.008772,0.008785,-0.003715,-0.02336
I,N_ba_D,0.006293,0.006821,0.003601,-0.01467,-0.0189,-0.004698,-0.007444,-0.002672
I,Np_D,-0.003296,-0.0008497,-0.01044,-0.02161,0.005279,0.02569,0.0492,0.02284
I,N_SP2_D,0.007022,-0.003921,-0.005243,0.004607,-0.002637,0.002459,0.006252,0.008196
I,N_AMID_D,0.006287,0.004481,0.004656,-0.006217,0.01402,-0.007382,-0.01373,-0.01826
I,Np_RES_D,0.01556,0.0001368,-0.007,-0.01066,-0.01163,0.003505,-0.004803,0.003497
I,N_DA,-0.001534,-0.008984,-0.002567,0.01292,0.007744,0.0007813,-0.005675,-0.0004982
I,N_a_DA,0.006172,0.000667,-0.01167,0.007856,-0.008962,0.01137,-0.002577,-0.01682
I,O_DA,0.01592,0.001999,0.002334,-0.01954,0.001282,-0.003386,-0.001093,-0.01151
I,O_ba_DA,0.002733,0.001687,0.002368,0.01312,0.0132,0.005429,0.00533,-0.01412
I,Met_DA,-0.006837,0.004905,-0.005426,0.00831,0.01221,0.004944,0.01728,0.02477
I,N_A,-0.0008835,-0.004931,0.000444,-0.005264,0.003887,-0.0132,-0.009724,-0.01684
I,N_a_A,-0.005235,0.005913,-0.006382,0.004783,0.01287,0.006712,-0.02401,-0.009286
I,O_A,0.01841,0.004286,0.0172,-0.002708,-0.002687,-0.007558,-0.007942,-0.01848
I,O_a_A,0.0006664,-0.0005294,-0.001548,-0.006143,0.002377,0.001468,0.01104,0.00665
I,On_A,0.02469,-0.005571,-0.002619,-0.002791,-0.004016,-0.005926,-0.0165,-0.03866
I,O_SP2_A,0.01207,0.00284,0.01059,0.0006923,0.01589,0.006976,-0.01073,0.001355
I,O_AMID,0.01419,-0.0005019,-0.00934,0.0032,-0.01367,-0.0001426,-0.004627,-0.02888
I,O_CAR,0.01555,-0.01175,0.00221,-0.01713,-0.01814,-0.01576,-0.01217,-0.006217
I,O_ALD,0.01656,0.02504,0.0356,0.06698,0.09284,0.08287,0.04906,0.02457
I,N,-0.01135,0.01015,0.008152,-0.000592,-0.01024,-0.01993,-0.00697,6.007e-05
I,Np,-0.008601,-0.003904,-0.003562,0.0005267,0.003302,0.0006571,0.01543,-0.001124
I,N_SP,0.001982,0.01016,-0.009759,0.01332,-0.006636,-0.005132,0.004533,-0.00432
I,O,-0.006672,-0.002017,-0.003997,1.499e-05,-0.008486,0.001601,0.001324,-0.003561
I,On,0.0001027,-0.003215,-0.003432,0.009809,-0.005511,0.01066,0.001768,-0.00654
I,S,0.02369,0.01162,-0.0005493,-0.02297,-0.02291,-0.002833,0.004371,0.01537
I,S_a,0.009309,0.001212,-0.003014,-0.001001,-0.01288,-0.002009,0.00218,0.00193
I,S_H,0.01129,0.006462,0.009644,0.00267,-0.005993,-0.01273,-0.01505,-0.01138
I,P,-0.004967,0.003379,-0.01012,-0.004494,-0.00151,0.01472,0.0006012,0.009401
I,U,-0.003534,-0.009507,-0.001346,-0.00185,-0.003624,-0.008749,0.001964,0.008526
I_ba,H,0.07203,0.01655,-0.07155,-0.08618,-0.08335,-0.08728,-0.08126,-0.09255
I_ba,H_N,0.04308,0.08139,0.03448,-0.02502,-0.01338,0.02647,0.04433,-0.0114
I_ba,H_O,0.06363,0.06589,0.04129,0.07025,0.003311,-0.04413,-0.0968,-0.08244
I_ba,H_S,0.01572,-0.002075,-0.01895,-0.02992,-0.03437,-0.07832,-0.07119,-0.07055
I_ba,H_ba,0.03685,0.0109,-0.04333,-0.04564,-0.04431,-0.07462,-0.06744,-0.1231
I_ba,C,0.05141,0.0539,-0.008277,-0.08587,-0.0791,-0.02256,-0.004206,-0.0385
I_ba,C_a,0.08801,-0.003483,0.004904,-0.0432,-0.06004,-0.06394,-0.04378,-0.04296
I_ba,C_SP2,-0.06137,-0.04557,-0.07484,-0.03051,0.02195,0.04408,-0.01408,-0.07969
I_ba,C_SP,0.005979,-0.01332,-0.002866,0.01044,-0.001418,0.01984,-0.005064,0.003544
I_ba,F,-0.01509,-0.02913,-0.002918,0.01199,-0.008625,0.02252,0.02793,0.06334
I_ba,F_ba,-0.003995,-0.0216,0.004685,0.02235,-0.03476,0.01362,0.001176,0.01249
I_ba,Cl,0.02444,-0.02081,0.0007107,0.01169,-0.02868,-0.003123,-0.03244,-0.001725
I_ba,Cl_ba,0.02661,-0.01313,0.0136,-0.000934,-0.02516,0.00938,0.03046,-0.001993
I_ba,Br,0.0002808,-0.01791,-0.008078,-0.01028,0.02492,-0.01613,0.03459,0.036
I_ba,Br_ba,-0.003731,0.02088,-0.02029,-0.009,-0.007199,0.003174,-0.0007903,-0.004432
I_ba,I,0.0221,0.03631,0.02517,0.01092,0.01192,0.009884,0.004498,-0.003111
I_ba,I_ba,-0.01426,-0.01003,-0.01632,-0.01279,-0.0003395,0.01107,-0.01665,0.0001872
I_ba,N_D,0.0068,0.002798,-0.01809,-0.02532,-0.02827,0.04119,0.05166,0.02806
I_ba,N_a_D,0.01304,0.03391,-0.002315,-0.01426,-0.006306,0.03629,0.03392,-0.01345
I_ba,N_ba_D,0.04314,0.03732,0.00776,-0.03416,-0.01505,-0.0328,0.01196,0.02615
I_ba,Np_D,0.027,0.01029,-0.01561,0.01647,0.1092,0.2619,0.2779,0.1923
I_ba,N_SP2_D,0.0411,0.0005234,0.008071,-0.0007998,0.0109,0.01675,0.02115,-0.007369
I_ba,N_AMID_D,0.04157,0.007525,-0.006614,-0.03724,-0.03075,-0.0786,-0.1695,-0.175
I_ba,Np_RES_D,0.065,0.01667,-0.0187,-0.05712,-0.01986,0.01644,0.05661,0.03377
I_ba,N_DA,0.003453,0.004277,0.01306,0.008085,0.01544,0.01731,0.01956,0.00171
I_ba,N_a_DA,0.0435,-0.00623,-0.01216,-0.01255,-0.003423,0.008082,-0.03537,-0.03992
I_ba,O_DA,0.07494,0.105,0.1016,0.09695,0.0625,-0.0241,-0.08231,-0.06775
I_ba,O_ba_DA,0.006102,0.03694,0.03123,-0.02279,-0.01065,-0.04347,-0.04617,-0.02861
I_ba,Met_DA,0.0204,-0.01433,-0.02633,0.03082,0.04969,0.06647,0.07078,0.1315
I_ba,N_A,0.02157,-0.02624,0.01836,0.01059,-0.01135,0.03776,-0.007662,0.00992
I_ba,N_a_A,0.02169,0.01482,-0.02309,-0.01075,-0.02466,-0.02039,-0.01454,0.003275
I_ba,O_A,0.02766,-0.01477,-0.02813,-0.06598,-0.04752,-0.06667,0.001846,0.01548
I_ba,O_a_A,-0.01363,-0.004899,-0.008258,-0.03727,-0.01109,0.01024,0.006565,0.01074
I_ba,On_A,0.0227,0.05352,0.04665,0.1116,0.08173,0.01239,-0.04329,-0.07492
I_ba,O_SP2_A,0.04564,0.06127,0.06322,0.03426,0.04925,0.0108,-0.02372,0.005584
I_ba,O_AMID,0.0899,0.06781,0.02175,-0.06028,-0.06955,-0.1136,-0.1291,-0.1393
I_ba,O_CAR,0.01562,0.003734,-0.0104,-0.0179,-0.07697,-0.07072,-0.05498,-0.03576
I_ba,O_ALD,0.08607,0.1522,0.2299,0.3863,0.4818,0.4325,0.2906,0.1724
I_ba,N,0.01772,0.005965,0.02947,0.002329,-0.01085,0.02309,0.05673,0.02669
I_ba,Np,0.005211,-0.03091,-0.03539,-0.009625,-0.0008541,0.04251,0.01512,0.02096
I_ba,N_SP,0.003021,-0.02751,0.01846,0.007527,-0.03615,0.0002875,-0.03614,-0.008677
I_ba,O,0.01807,-0.02008,-0.01419,0.007395,0.01216,0.02044,0.0002336,-0.01574
I_ba,On,-0.03088,0.02176,-0.009038,0.006664,0.01148,-0.01179,0.01062,0.008832
I_ba,S,0.07953,0.06968,0.02636,-0.02977,-0.04326,-0.02921,0.01479,0.04459
I_ba,S_a,-0.004367,0.01181,-0.003559,0.01493,-0.01043,0.01829,-0.01694,0.01591
I_ba,S_H,0.02413,0.04479,-0.02178,-0.05872,-0.09288,-0.07682,-0.03626,-0.03487
I_ba,P,-0.00923,-0.0243,0.01277,-0.008116,-0.006039,0.005015,-0.01271,0.0112
I_ba,U,0.01151,0.01998,0.01945,-0.03171,-0.005036,-0.05393,-0.01996,-0.002601
N_D,H,-0.02145,0.01563,0.02448,-0.008476,-0.0002686,0.003741,0.03951,0.042
N_D,H_N,-0.02002,-0.04528,-0.02996,0.003635,-0.01425,-0.04733,-0.03432,-0.00281
N_D,H_O,-0.02777,-0.01198,-0.02378,-0.02436,0.01943,0.02376,0.02734,-0.002921
N_D,H_S,0.001344,-0.007288,0.00675,0.02012,0.04583,0.04644,0.007936,0.0007494
N_D,H_ba,-0.05323,-0.03344,-0.01453,-0.01662,-0.0004856,0.0151,0.03626,0.01813
N_D,C,-0.009929,0.02164,-0.0006788,0.005215,-0.01976,0.0308,0.02691,0.04998
N_D,C_a,-0.009816,0.009664,0.008723,-0.0007293,0.006311,0.03346,0.03792,0.008194
N_D,C_SP2,0.03914,0.03639,0.03929,0.03128,0.008527,0.0054,0.02793,-0.005607
N_D,C_SP,-0.007708,-0.01521,-0.007931,-0.0009867,-0.003417,-0.0006192,-0.01473,-0.006144
N_D,F,0.03419,0.001968,0.02001,0.01277,0.02042,0.02825,-0.01913,-0.01888
N_D,F_ba,0.004807,-0.002896,-0.002953,0.01009,0.008285,0.01632,0.0167,-0.0001212
N_D,Cl,0.02116,0.00844,0.001014,0.01967,0.005394,-0.01744,-0.04123,-0.01299
N_D,Cl_ba,-0.005558,0.00225,0.02243,-0.008876,-0.01319,0.002688,0.008747,-0.02001
N_D,Br,0.01541,0.0132,0.001233,0.01562,-0.01603,0.01959,-0.008454,-0.002283
N_D,Br_ba,-0.003906,-0.00891,0.006198,0.003836,0.01912,-0.001366,0.01039,-0.001422
N_D,I,-0.002392,-0.008235,0.01297,0.0005664,-0.01167,0.002696,0.01429,0.004042
N_D,I_ba,-0.0184,0.007519,-0.0005359,-0.005129,-0.01975,0.0051,-0.0023,0.007124
N_D,N_D,0.01462,0.004958,0.027,0.04165,0.01972,0.01685,0.005844,-0.04192
N_D,N_a_D,-0.007465,0.003027,-0.01897,-0.008128,-0.002723,-0.0273,-0.03642,-0.03271
N_D,N_ba_D,-0.01038,-0.008557,0.02471,0.03263,0.02654,0.0177,-0.005031,-0.01257
N_D,Np_D,0.03583,0.02849,0.06454,0.0317,-0.06411,-0.07278,-0.001071,0.02854
N_D,N_SP2_D,-0.0002892,-0.002007,0.01597,0.0053,0.005636,-0.001591,-0.004307,0.03105
N_D,N_AMID_D,0.008082,0.02566,-0.0004119,-0.02371,-0.009351,0.0005168,0.035,0.02707
N_D,Np_RES_D,-0.003906,0.005515,0.01948,-0.0008235,-0.01002,-0.07414,-0.08159,-0.02539
N_D,N_DA,-0.009119,-0.01617,-0.01515,0.004712,0.01055,-0.002695,-0.02415,0.02508
N_D,N_a_DA,0.03399,0.009794,-0.008279,-0.03121,-0.01035,-0.008699,-0.005924,0.03119
N_D,O_DA,-0.01068,-0.01309,-0.04051,-0.04116,0.02454,0.0335,0.04779,0.04491
N_D,O_ba_DA,-0.02416,0.002017,-0.02092,0.007975,-0.01773,0.004129,-0.001358,0.01373
N_D,Met_DA,-0.07996,-0.06778,-0.05638,-0.1261,-0.1076,-0.05017,0.01391,0.03407
N_D,N_A,0.01028,-0.01576,0.008283,-0.009467,-0.001463,0.003234,-0.01133,0.01426
